temperature,std_month,std_day,std_hour,std_temperature_lag_1,std_temperature_lag_2,std_temperature_lag_3,std_temperature_lag_4,std_temperature_lag_5,std_temperature_lag_6
7.4,-1.5769514821354091,-1.6710708447517488,-0.6491207584683751,-0.6674914436041144,-0.6677618894105608,-0.6547972639784195,-0.6683143062214146,-0.7083017265560254,-0.6423141798350501
7.2,-1.5769514821354091,-1.6710708447517488,-0.5046848613094819,-0.6674914436041144,-0.6677618894105608,-0.6680398613156467,-0.6550704580845583,-0.6685670763876164,-0.7085430870813842
7.0,-1.5769514821354091,-1.6710708447517488,-0.3602489641505885,-0.6939716421683969,-0.6677618894105608,-0.6680398613156467,-0.6683143062214146,-0.6553221929981468,-0.6688057427335836
7.2,-1.5769514821354091,-1.6710708447517488,-0.2158130669916952,-0.7204518407326794,-0.694244510676054,-0.6680398613156467,-0.6683143062214146,-0.6685670763876164,-0.6555599612843169
7.7,-1.5769514821354091,-1.6710708447517488,-0.07137716983280189,-0.6939716421683969,-0.7207271319415471,-0.6945250559901014,-0.6683143062214146,-0.6685670763876164,-0.6688057427335836
8.0,-1.5769514821354091,-1.6710708447517488,0.07305872732609141,-0.6277711457576907,-0.694244510676054,-0.721010250664556,-0.6948020024951274,-0.6685670763876164,-0.6688057427335836
8.2,-1.5769514821354091,-1.6710708447517488,0.21749462448498472,-0.5880508479112668,-0.6280379575123212,-0.6945250559901014,-0.7212896987688402,-0.6950568431665557,-0.6688057427335836
8.3,-1.5769514821354091,-1.6710708447517488,0.361930521643878,-0.5615706493469844,-0.5883140256140814,-0.6283120693039649,-0.6948020024951274,-0.7215466099454949,-0.6952973056321173
7.7,-1.5769514821354091,-1.6710708447517488,0.5063664188027713,-0.548330550064843,-0.5618314043485884,-0.588584277292283,-0.6285827618108455,-0.6950568431665557,-0.721788868530651
7.3,-1.5769514821354091,-1.6710708447517488,0.6508023159616646,-0.6277711457576907,-0.5485900937158417,-0.5620990826178285,-0.5888512174002765,-0.6288324262192074,-0.6952973056321173
6.2,-1.5769514821354091,-1.6710708447517488,0.795238213120558,-0.6807315428862557,-0.6280379575123212,-0.548856485280601,-0.5623635211265637,-0.5890977760507985,-0.6290683983857832
5.4,-1.5769514821354091,-1.6710708447517488,0.9396741102794512,-0.8263726349898095,-0.6810032000433074,-0.6283120693039649,-0.5491196729897072,-0.5626080092718593,-0.5893310540379827
5.6,-1.5769514821354091,-1.6710708447517488,1.0841100074383445,-0.9322934292469395,-0.8266576170035196,-0.6812824586528741,-0.6285827618108455,-0.5493631258823894,-0.5628394911394492
4.7,-1.5769514821354091,-1.6710708447517488,1.2285459045972378,-0.9058132306826571,-0.932588102065492,-0.8269510293623744,-0.681558154358271,-0.6288324262192074,-0.5495937096901822
4.1,-1.5769514821354091,-1.6710708447517488,1.3729818017561313,-1.0249741242219284,-0.9061054807999991,-0.9328918080601928,-0.8272404838636912,-0.6818119597770861,-0.6290683983857832
4.0,-1.5769514821354091,-1.6710708447517488,1.5174176989150245,-1.1044147199147758,-1.025277276494718,-0.9064066133857382,-0.9331912689585421,-0.8275056770612521,-0.6820515241828505
4.5,-1.5769514821354091,-1.6710708447517488,1.6618535960739178,-1.1176548191969171,-1.1047251402911975,-1.0255899894207838,-0.9067035726848295,-0.9334647441770092,-0.8277551201247856
4.7,-1.5769514821354091,-1.5574172299891773,-1.6601720385806282,-1.0514543227862108,-1.117966450923944,-1.1050455734441478,-1.0258982059165367,-0.90697497739807,-0.9337213717189202
4.3,-1.5769514821354091,-1.5574172299891773,-1.515736141421735,-1.0249741242219284,-1.0517598977602112,-1.118288170781375,-1.1053612947376752,-1.0261789279032967,-0.9072298088203866
4.3,-1.5769514821354091,-1.5574172299891773,-1.3713002442628417,-1.0779345213504932,-1.025277276494718,-1.0520751840952385,-1.1186051428745314,-1.1056482282401148,-1.026441841863788
4.8,-1.5769514821354091,-1.5574172299891773,-1.2268643471039484,-1.0779345213504932,-1.0782425190257041,-1.0255899894207838,-1.0523859021902495,-1.1188931116295844,-1.105916530559389
