,target_temperature,month,day,hour,temperature_lag_1,cloud_cover_lag_1,wind_speed_lag_1
1,7.1,1,1,2,-0.641011245039832,1.0567328531394824,0.8380107304679314
2,7.4,1,1,3,-0.7072117414505382,1.0567328531394824,1.1769382763597291
3,7.5,1,1,4,-0.6674914436041144,1.0567328531394824,1.5642840430932121
4,7.4,1,1,5,-0.6542513443219732,1.0567328531394824,1.4674476014098417
5,7.4,1,1,6,-0.6674914436041144,1.0567328531394824,1.806375147301639
6,7.4,1,1,7,-0.6674914436041144,1.0567328531394824,2.1937209140351226
7,7.2,1,1,8,-0.6674914436041144,1.0567328531394824,2.4358120182435496
8,7.0,1,1,9,-0.6939716421683969,1.0567328531394824,2.5810666807686053
9,7.2,1,1,10,-0.7204518407326794,1.0567328531394824,2.242139134876808
10,7.7,1,1,11,-0.6939716421683969,1.0567328531394824,2.290557355718493
11,8.0,1,1,12,-0.6277711457576907,1.0567328531394824,2.0000480306683808
12,8.2,1,1,13,-0.5880508479112668,1.0567328531394824,1.2737747180431
13,8.3,1,1,14,-0.5615706493469844,-0.08295243612254194,1.2253564972014148
14,7.7,1,1,15,-0.548330550064843,-0.08295243612254194,1.5642840430932121
15,7.3,1,1,16,-0.6277711457576907,0.2969426602981328,1.8547933681433246
16,6.2,1,1,17,-0.6807315428862557,0.6768377567188075,1.757956926459954
17,5.4,1,1,18,-0.8263726349898095,0.2969426602981328,1.7095387056182687
18,5.6,1,1,19,-0.9322934292469395,0.2969426602981328,1.8547933681433246
19,4.7,1,1,20,-0.9058132306826571,0.2969426602981328,1.4674476014098417
20,4.1,1,1,21,-1.0249741242219284,0.6768377567188075,1.4674476014098417
21,4.0,1,1,22,-1.1044147199147758,-0.08295243612254194,1.1769382763597291
22,4.5,1,1,23,-1.1176548191969171,0.6768377567188075,1.7095387056182687
23,4.7,1,2,0,-1.0514543227862108,0.6768377567188075,0.9832653929929879
24,4.3,1,2,1,-1.0249741242219284,0.6768377567188075,1.3221929388847853
25,4.3,1,2,2,-1.0779345213504932,0.6768377567188075,1.3221929388847853
26,4.8,1,2,3,-1.0779345213504932,0.6768377567188075,1.4674476014098417
27,5.0,1,2,4,-1.011734024939787,0.6768377567188075,0.741174288784561
28,5.8,1,2,5,-0.9852538263755045,0.6768377567188075,1.4190293805681562
29,5.7,1,2,6,-0.8793330321183745,0.6768377567188075,1.2737747180431
30,5.5,1,2,7,-0.8925731314005158,0.6768377567188075,1.5158658222515269
31,4.5,1,2,8,-0.9190533299647983,-0.08295243612254194,1.661120484776583
32,4.6,1,2,9,-1.0514543227862108,-0.08295243612254194,1.0801018346763582
33,4.7,1,2,10,-1.0382142235040697,0.2969426602981328,0.6443378471011901
34,5.2,1,2,11,-1.0249741242219284,-1.2226377253845662,0.11173741784265094
35,6.0,1,2,12,-0.958773627811222,-1.2226377253845662,0.4506649637344485
36,6.0,1,2,13,-0.852852833554092,-1.2226377253845662,0.8864289513096171
37,5.7,1,2,14,-0.852852833554092,-1.2226377253845662,1.661120484776583
38,5.5,1,2,15,-0.8925731314005158,-1.602532821805241,1.806375147301639
39,4.6,1,2,16,-0.9190533299647983,-1.602532821805241,1.2253564972014148
40,2.8,1,2,17,-1.0382142235040697,-1.602532821805241,0.9348471721513023
41,2.6,1,2,18,-1.276536010582612,-1.602532821805241,0.3538285220510776
42,-0.9,1,2,19,-1.3030162091468946,-1.2226377253845662,-0.5661176739409444
43,-0.2,1,2,20,-1.7664196840218387,-0.8427426289638915,-0.6629541156243152
44,0.3,1,2,21,-1.6737389890468497,0.6768377567188075,-1.0502998823577983
45,0.6,1,2,22,-1.6075384926361436,-0.08295243612254194,-1.147136324041169
46,0.4,1,2,23,-1.5678181947897198,0.6768377567188075,-0.8566269989910567
47,-0.3,1,3,0,-1.5942983933540023,0.6768377567188075,-0.8566269989910567
48,1.0,1,3,1,-1.6869790883289912,-0.08295243612254194,-0.8566269989910567
49,1.4,1,3,2,-1.5148577976611548,1.0567328531394824,-0.5176994530992591
50,1.7,1,3,3,-1.4618974005325898,1.0567328531394824,-0.6145358947826297
51,2.4,1,3,4,-1.422177102686166,0.6768377567188075,-0.8082087781493713
52,2.1,1,3,5,-1.329496407711177,1.0567328531394824,-0.3240265697325174
53,2.7,1,3,6,-1.369216705557601,1.0567328531394824,-0.4208630114158883
54,2.7,1,3,7,-1.2897761098647536,1.0567328531394824,-0.1787719072074614
55,2.9,1,3,8,-1.2897761098647536,1.0567328531394824,-0.08193546552409053
56,2.7,1,3,9,-1.263295911300471,0.6768377567188075,-0.1787719072074614
57,2.9,1,3,10,-1.2897761098647536,0.6768377567188075,-0.3240265697325174
58,3.4,1,3,11,-1.263295911300471,0.6768377567188075,-0.3724447905742029
59,3.8,1,3,12,-1.1970954148897646,0.6768377567188075,-0.3724447905742029
60,4.1,1,3,13,-1.1441350177611995,0.6768377567188075,-0.1787719072074614
61,4.2,1,3,14,-1.1044147199147758,0.6768377567188075,-0.13035368636577596
62,4.5,1,3,15,-1.0911746206326347,0.6768377567188075,-0.27560834889083224
63,4.1,1,3,16,-1.0514543227862108,0.6768377567188075,-0.5661176739409444
64,3.9,1,3,17,-1.1044147199147758,0.6768377567188075,-0.8082087781493713
65,3.6,1,3,18,-1.1308949184790584,0.6768377567188075,-1.0502998823577983
66,2.3,1,3,19,-1.1706152163254822,0.6768377567188075,-1.0502998823577983
67,1.7,1,3,20,-1.3427365069933184,-0.08295243612254194,-0.9534634406744276
68,1.4,1,3,21,-1.422177102686166,0.2969426602981328,-0.8082087781493713
